movieId,title,genres
31,Dangerous Minds (1995),Drama
1029,Dumbo (1941),Animation|Children|Drama|Musical
1061,Sleepers (1996),Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1172,"Cinema Paradiso (Nuovo cinema Paradiso) (1989)",Drama
1263,"Deer Hunter, The (1978)",Drama|War
1111,"Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)",Documentary
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
10,GoldenEye (1995),Action|Adventure|Thriller
